System Time, Nox
2018-03-15 14:59:57.994686,57
2018-03-15 15:14:14.965126,62
2018-03-15 17:56:12.062852,63
2018-03-15 18:09:01.549966,57
2018-03-15 18:11:09.212331,50
2018-03-15 19:34:58.918188,51
2018-03-16 09:32:22.464851,74
2018-03-16 09:34:29.956495,64
2018-03-16 09:35:33.654247,52
2018-03-16 09:38:44.251060,67
2018-03-16 10:21:20.744213,60
2018-03-16 10:22:23.451589,52
2018-03-16 10:26:40.630291,100
2018-03-16 10:28:47.600320,112
2018-03-16 10:41:34.789776,55
2018-03-17 02:47:43.290347,54
2018-03-17 08:24:26.033645,54
2018-03-17 09:30:38.487533,228
2018-03-17 09:32:47.721879,52
2018-03-17 09:27:26.586942,51
2018-03-17 09:41:17.567402,91
2018-03-07 19:22:56.140623,68
2018-03-08 11:42:10.195990,53
2018-03-09 19:09:13.407977,61
2018-03-14 14:36:32.369014,89
2018-03-16 17:25:01.564833,61
2018-03-06 15:13:02.663147,68
2018-03-06 17:16:23.352328,51
2018-03-06 17:09:55.861789,52
2018-03-06 18:07:14.358199,53
2018-03-06 18:04:56.165094,56
2018-03-06 18:10:40.067788,67
2018-03-06 19:48:48.781834,63
2018-03-06 19:55:08.967831,231
2018-03-07 07:26:02.265449,59
2018-03-07 07:36:21.834518,55
2018-03-07 07:41:46.465884,103
2018-03-07 07:40:40.712937,50
2018-03-07 12:29:50.852689,91
2018-03-07 12:34:05.735727,56
2018-03-07 13:15:41.695293,58
2018-03-07 13:19:59.897661,104
2018-03-07 13:34:51.956345,73
2018-03-07 14:02:34.192008,67
2018-03-07 14:46:18.847982,102
2018-03-07 14:50:35.673996,66
2018-03-07 15:49:31.005309,60
2018-03-07 16:05:33.487098,54
2018-03-07 16:08:46.637709,77
2018-03-07 16:14:07.140404,57
2018-03-08 15:36:06.972498,68
2018-03-08 15:53:26.825309,55
2018-03-08 16:10:32.253850,69
2018-03-08 16:15:48.964300,162
2018-03-08 16:23:18.469304,80
2018-03-08 16:39:16.524923,71
2018-03-08 16:42:26.826212,64
2018-03-08 16:56:18.908165,64
2018-03-08 16:52:00.159168,134
2018-03-08 17:00:31.797960,79
2018-03-08 16:50:58.431268,89
2018-03-08 17:01:38.043579,73
2018-03-08 18:05:37.313442,58
2018-03-08 18:02:27.990767,70
2018-03-08 18:09:53.845541,50
2018-03-08 18:16:17.577293,66
2018-03-08 18:21:37.723148,62
2018-03-08 18:35:28.188085,63
2018-03-08 18:38:41.655025,51
2018-03-09 17:16:40.831082,53
2018-03-09 17:16:49.444137,116
2018-03-09 17:33:55.206416,54
2018-03-09 17:39:18.090051,53
2018-03-09 18:31:39.163453,57
2018-03-09 18:35:54.976272,153
2018-03-09 19:20:49.292524,51
2018-03-09 23:20:17.150720,111
2018-03-09 23:12:51.974281,69
2018-03-10 13:19:36.208360,81
2018-03-10 13:19:53.738124,82
2018-03-10 13:15:38.585296,60
2018-03-10 18:11:08.311368,66
2018-03-10 18:48:26.601039,53
2018-03-10 18:50:33.034432,52
2018-03-10 18:45:13.434915,61
2018-03-10 20:05:14.481050,198
2018-03-10 19:56:41.910704,74
2018-03-10 20:06:17.721016,63
2018-03-10 20:20:10.723878,196
2018-03-10 20:21:12.009452,69
2018-03-10 20:44:42.782050,60
2018-03-10 20:46:50.758324,74
2018-03-10 20:56:29.622858,75
2018-03-11 18:49:06.235192,54
2018-03-11 18:47:46.023322,52
2018-03-11 19:19:26.953769,79
2018-03-11 19:17:21.714462,51
2018-03-11 21:03:02.217327,54
2018-03-11 21:01:08.950845,95
2018-03-12 12:00:35.594392,72
2018-03-12 17:54:36.741118,79
2018-03-12 18:13:41.416908,72
2018-03-12 18:24:18.318797,53
2018-03-12 18:25:21.073422,64
2018-03-13 08:19:52.163404,53
2018-03-13 08:37:55.246975,58
2018-03-13 08:42:08.448905,53
2018-03-13 10:58:00.478595,69
2018-03-13 16:21:35.271661,255
2018-03-14 07:13:20.861026,85
2018-03-14 07:20:49.606071,107
2018-03-14 07:21:51.310734,56
2018-03-15 07:20:14.683640,58
2018-03-15 07:23:25.956625,56
2018-03-15 09:08:02.502805,55
2018-03-15 12:47:50.736274,52
2018-03-16 12:49:36.229746,123
2018-03-16 12:56:00.864123,125
2018-03-16 13:57:51.744088,126
2018-03-16 15:23:18.429898,50
2018-03-16 15:27:34.408388,67
2018-03-16 15:28:37.747854,108
2018-03-16 20:30:40.855588,53
2018-03-06 10:44:23.460577,60
2018-03-06 10:47:47.244172,61
2018-03-08 17:22:15.942764,51
